Region;State;Population;PopulationPrev
Козятин;Вінницька;24180;26635
Золочів;Львівська;24119;23481
Селидове;Донецька;23989;26793
Броди;Львівська;23803;23239
Вільногірськ;Дніпропетровська;23766;23782
Знам'янка;Кіровоградська;23743;29412
Докучаєвськ;Донецька;23641;24383
Кролевець;Сумська;23507;25183
Саки;Автономна Республіка Крим;23391;29416
Волноваха;Донецька;23164;24647
Молодогвардійськ;Луганська;23113;25528
Ладижин;Вінницька;22783;22219
Лиман;Донецька;22409;28172
Мерефа;Харківська;22383;25018
Армянськ;Автономна Республіка Крим;22286;23869
Надвірна;Івано-Франківська;22255;20932
Люботин;Харківська;21853;24173
Попасна;Луганська;21765;25951
Полонне;Хмельницька;21651;23211
Кременець;Тернопільська;21624;22051
Сокаль;Львівська;21371;21693
Красноград;Харківська;21231;22670
Тростянець;Сумська;21220;23308
Стебник;Львівська;20988;20863
Суходільськ;Луганська;20949;23642
Долина;Івано-Франківська;20654;20906
Кілія;Одеська;20449;22594
Яготин;Київська;20340;23659
Кремінна;Луганська;20137;24447
Генічеськ;Херсонська;20132;21793
Курахове;Донецька;19950;21479
Пологи;Запорізька;19750;22206
Красилів;Хмельницька;19679;20580
Волочиськ;Хмельницька;19574;20958
Підгородне;Дніпропетровська;19530;17763
Долинська;Кіровоградська;19457;18768
Дніпрорудне;Запорізька;19361;21054
Рені;Одеська;19315;20481
Калинівка;Вінницька;19226;20061
Балта;Одеська;19082;19962
Вовчанськ;Харківська;19029;20695
П'ятихатки;Дніпропетровська;18886;20563
Скадовськ;Херсонська;18824;19641
Амвросіївка;Донецька;18682;22130
Корсунь-Шевченківський;Черкаська;18656;19311
Бахмач;Чернігівська;18604;20332
Зугрес;Донецька;18474;19859
Бережани;Тернопільська;18264;17617
Білогірськ;Автономна Республіка Крим;18252;18790
Дергачі;Харківська;18210;20258
Сватове;Луганська;18093;19495
Старобільськ;Луганська;17980;22371
Роздільна;Одеська;17930;17754
Лутугине;Луганська;17905;18833
Звенигородка;Черкаська;17771;19901
Новоукраїнка;Кіровоградська;17554;19353
Шпола;Черкаська;17549;19427
Ватутіне;Черкаська;17278;20156
Ізяслав;Хмельницька;17212;18444
Свалява;Закарпатська;17066;17145
Богуслав;Київська;16786;17135
Верхньодніпровськ;Дніпропетровська;16760;16976
Городок;Хмельницька;16741;17746
Білопілля;Сумська;16659;18384
Сквира;Київська;16616;18126
Березань;Київська;16570;17367
Винники;Львівська;16517;13654
Овруч;Житомирська;16515;17031
Бар;Вінницька;16380;17284
Дунаївці;Хмельницька;16232;16448
Путивль;Сумська;16175;17354
Городок;Львівська;16046;16082
Пирятин;Полтавська;15933;16664
Білозерське;Донецька;15916;17868
Красногорівка;Донецька;15912;16714
Тульчин;Вінницька;15845;16136
Іловайськ;Донецька;15808;17620
Вільнянськ;Запорізька;15787;16522
Українка;Київська;15775;14163
Острог;Рівненська;15745;14801
Богодухів;Харківська;15720;18224
Новий Буг;Миколаївська;15603;16250
Болград;Одеська;15584;17353
Вознесенівка;Луганська;15582;17680
Миколаївка;Донецька;15559;16620
Судак;Автономна Республіка Крим;15532;14495
Бурштин;Івано-Франківська;15370;15298
Вугледар;Донецька;15294;17440
Рахів;Закарпатська;15283;15241
Новогродівка;Донецька;15247;17473
Оріхів;Запорізька;15161;17955
Зміїв;Харківська;15160;17063
Гайворон;Кіровоградська;15087;16126
Карлівка;Полтавська;15071;17995
Арциз;Одеська;15021;16370
Миколаїв;Львівська;14934;14801
Радомишль;Житомирська;14930;15326
Гола Пристань;Херсонська;14785;16028
